rf_id,ee_name,ee_address_1,ee_address_2,ee_city,ee_state,ee_postcode,ee_country,or_name,or_name,exec_dt,ack_dt,file_id,cname,caddress_1,caddress_2,caddress_3,caddress_4,reel_no,frame_no,convey_text,record_dt,last_update_dt,page_count,purge_in
333090312,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"ACTUATED MEDICAL, INC.","ACTUATED MEDICAL, INC.",2014/7/9,,13,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,33309,312,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2014/7/11,2018/9/11,2,N
334520233,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"ACTUATED MEDICAL, INC.","ACTUATED MEDICAL, INC.",2012/10/30,,13,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,33452,233,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2014/7/31,2014/8/5,2,N
353660501,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"ACTUATED MEDICAL, INC.","ACTUATED MEDICAL, INC.",2015/4/2,,14,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,35366,501,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2015/4/6,2015/4/10,2,N
359090394,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"ACTUATED MEDICAL, INC.","ACTUATED MEDICAL, INC.",2012/10/30,,14,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,35909,394,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2015/6/15,2015/6/26,2,N
274490829,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"ADELPHI TECHNOLOGY, INC.","ADELPHI TECHNOLOGY, INC.",2011/8/29,,11,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,27449,829,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2011/12/27,2011/12/29,2,N
426420118,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"ADVANCED COOLING THERAPY, INC","ADVANCED COOLING THERAPY, INC",2017/5/22,,16,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,42642,118,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2017/5/31,2019/9/17,2,N
426420127,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"ADVANCED COOLING THERAPY, INC","ADVANCED COOLING THERAPY, INC",2017/5/22,,16,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,42642,127,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2017/5/31,2017/6/9,2,N
426420177,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"ADVANCED COOLING THERAPY, INC","ADVANCED COOLING THERAPY, INC",2017/5/22,,16,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,42642,177,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2017/5/31,2017/6/9,2,N
426420197,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"ADVANCED COOLING THERAPY, INC","ADVANCED COOLING THERAPY, INC",2017/5/22,,16,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,42642,197,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2017/5/31,2017/6/9,2,N
426420212,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"ADVANCED COOLING THERAPY, INC","ADVANCED COOLING THERAPY, INC",2017/5/22,,16,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,42642,212,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2017/5/31,2017/6/9,2,N
